"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.1336717428088","28.4615384615385","30.2334062727936","31.7007715531701","30.8690012970169","25.4941135775374","23.9991775312859","26.629979781872","28.8817040907799","28.4513918843887","33.160442199198","34.5191296544988","31.746651038248","32.1030557196345","29.6421797785745","28.2831797071863","27.4166371579459","23.5225068320821","23.8258550178984","23.1114610175592","21.5389195724266","20.5750100127193","20.5511821265415","22.4017243113924","22.4385043629328","24.1787830427285","21.7881811953944","20.9175227007079","21.4610014922559","",
"Africa Eastern and Southern","AFE","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.3596925003965","19.4619580093711","18.8394999248528","17.6303680862548","19.0478328734968","18.6390507765675","18.7582831669045","18.0272010343955","17.5786949909469","18.248210250215","19.5215161875093","19.2005366321665","20.1935744007782","21.2359741711155","23.4609365315376","23.2549075180096","21.4074944355527","22.3620183702233","22.6309818808152","23.3161085338966","23.649873176387","23.5058036514032","21.4795054191288","21.521960720018","20.9050647577517","21.5137293493239","20.3632847886198","20.1338157154799","21.3575512591666","20.9887090849144","19.9936795542419",
"Afghanistan","AFG","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.5","13","16.7","15.2924823859473","",
"Africa Western and Central","AFW","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","","","","","","","","","","","","30.4931731253335","30.4511114121029","30.8936755014177","27.5565797901657","23.3007709224417","25.730579355956","30.804053314644","42.8208531628244","28.1973176920118","26.4243531675539","26.6675773725046","26.1429704757952","27.5004591988793","34.2024908297612","27.2147092687935","24.1303058646463","17.8694205677582","17.7122552404386","26.4904004984611","26.4373618826197","26.256018224438","23.7790911131562","25.0015700592034",
"Albania","ALB","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","35.805834723522","36.3861156517659","39.2829001338862","37.373346292896","32.9255350791543","33.9319591391124","32.0348354243886","29.4538695223043","29.957542067619","32.8770715994479","30.360946807547","7.60311109567282","5.65668410228241","13.6761374504386","18.8965848987739","16.4271239839877","21.1475152669262","19.7587807672594","22.7895725962923","24.2715109633495","34.0401392244169","38.2280453184166","38.5753358181086","36.7221284326025","36.3319472329288","38.3843892451909","37.3389564722485","35.6688758642439","33.3056707670518","32.4404588015772","32.4926226328977","33.8376091539876","29.7150278852687","29.0566378899977","28.3047822758213","27.8134648405134","26.814346013014","27.657593194662","27.1252994132038","25.2875256073276","26.2183527297829","28.79440672883","26.9055628314758","22.9107217576367","",
"Andorra","AND","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","17.892948615258","17.8330448711091","19.5848501204906","18.7093618096965","18.2364428747786","10.9576841082906","25.2588590859871","23.4614731448866","27.3500866996135","28.2812614250366","31.1369752926934","26.6528695423189","25.0979379760585","27.3669947618656","30.5094405568054","28.7231776310436","28.229866178365","24.7077603144851","24.5177579020613","21.7504965527235","22.733898981685","17.9894876875622","30.3492017783293","21.4240916984149","22.4453283572797","22.8372582865617","21.1630673741734","21.8426265170238","20.8975908882868","18.6924362391861","22.2476997061358","21.8956979214247","19.930416171468","21.5628680829114","21.0733834878349","21.313234726128","21.5842055293081","21.5035964616593","22.7020926634287","25.5331779099685","26.51721443562","28.3951807075512","27.0605373930706","24.5450709711241","23.9026661631299","24.728978427218","25.6826429030874","27.5210016723437","27.0853289099491","26.3794836772972","25.3506972414183","26.3851615210824","24.5589654069151","25.1534597535244","25.2047328725954","26.573808840727","",
"United Arab Emirates","ARE","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.5025971503274","22.5456815521944","22.1297618369823","19.9785190602061","20.1668488058722","19.2703996822451","25.1991828204692","25.0980915438506","31.6335487625593","29.6463693617768","25.3264458298247","23.9197807636146","21.6380023828241","22.7007895581753","22.3269675163384","21.6356185610315","21.2814632346798","21.8306207812899","24.0692780432813","23.3288630345764","25.8270196988707","26.5079604219642","27.0786563226145","",
"Argentina","ARG","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","23.4792342590099","27.7664470644615","21.7309350217721","18.2728788276194","21.4739126232485","22.4276757468008","20.5425466290179","21.2150357873283","21.6904972921362","23.9906052021963","24.4400952475051","24.1130324177909","23.8915446190398","20.8938115320811","22.2603317856376","29.4410469590453","30.7294395896829","30.9416888038212","27.8001595713111","25.8567694620944","25.257786289888","22.6910887215618","21.7549479464592","20.8877523061467","19.9640924492995","17.5890669180019","17.4617642050861","19.5548660012086","18.6400388971926","15.5146982752804","13.9969815756662","14.6369773950796","16.7024057741857","19.6881104233422","19.9656232520199","18.5004105114971","19.6238724452255","20.8260515469902","20.9707691548621","17.8629278753399","17.5334874363903","15.6259653308051","10.8539052402585","14.1469621012504","17.5512703642799","18.8882641376513","18.6804872364334","20.099113202908","19.5727758777106","16.0531123592112","17.7055338062046","18.39845891735","16.5019865298875","17.3057789012596","17.2628810064651","17.0707048841583","17.6632278606203","18.2125671747754","16.6138850156371","14.2100303992191","14.4151557410245","18.0762892471421","17.2797984562396","19.3715390134256","15.7234475678136",
